_id,NomEmpresa,IdcClassificacaoBarragens,DatConclusaoConstrucao
2079,Companhia Brasileira de Alumínio,B,2002-06-28
2080,AES Brasil Operações S.A.,B,1963-05-20
2081,Elera Renováveis S.A.,B,2009-09-15
2082,Global Energia Elétrica S.A,C,2002-11-30
2083,Companhia de Nickel do Brasil,C,1938-01-08
2084,Statkraft Energias Renováveis S.A.,C,2001-02-20
2085,Companhia Hidro Elétrica do São Francisco,B,1969-08-01
2086,CELESC Geração S.A.,C,1931-01-01
2087,CELESC Geração S.A.,C,1947-01-01
2088,CELESC Geração S.A.,B,1960-01-01
2089,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1960-08-01
2090,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1956-02-01
2091,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1951-01-01
2092,Electra PCH Buriti SPE S.A.,C,2018-04-20
2093,Chimay Empreendimentos e Participações Ltda.,C,1922-01-01
2094,MAYNART ENERGÉTICA LTDA.,C,1944-01-01
2095,MAYNART ENERGÉTICA LTDA.,B,1959-01-01
2096,MAYNART ENERGÉTICA LTDA.,C,1948-01-01
2097,MAYNART ENERGÉTICA LTDA.,C,1948-01-01
2098,MAYNART ENERGÉTICA LTDA.,B,2003-05-01
2099,MAYNART ENERGÉTICA LTDA.,B,2003-09-01
2100,JFG Energia S.A,C,1997-01-15
2101,ZONA DA MATA GERAÇÃO S/A,B,1998-06-15
2102,AES Brasil Operações S.A.,B,1966-08-22
2103,CEMIG Geração Oeste S.A.,B,1953-10-01
2104,CPFL Sul Centrais Elétricas Ltda,C,2005-11-20
2105,CEMIG Geração Camargos S.A.,B,1958-07-07
2106,ENGIE Brasil Energia S.A.,B,2002-02-10
2107,ENGIE Brasil Energia S.A.,B,2002-02-10
2108,ENGIE Brasil Energia S.A.,B,2002-02-10
2109,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1956-12-15
2110,Rio Verde Energia S.A.,C,2006-09-10
2111,Companhia Brasileira de Alumínio,B,1999-04-24
2112,Rio Paranapanema Energia S.A.,B,1999-04-24
2113,Companhia Brasileira de Alumínio,B,1999-04-24
2114,Rio Paranapanema Energia S.A.,B,1999-04-24
2115,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1933-01-01
2116,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1933-01-01
2117,Rio Paranapanema Energia S.A.,B,1975-12-20
2118,Sociedade Urbano CERBRANORTE - Geração de Energia Elétrica SPE Ltda.,C,2016-03-31
2119,AMG BRASIL S.A.,C,1936-01-26
2120,CAZUZA FERREIRA ENERGÉTICA S/A,C,2015-11-07
2121,CELESC Geração S.A.,B,1949-01-01
2122,CELESC Geração S.A.,C,1949-01-01
2123,CELESC Geração S.A.,C,1963-01-01
2124,Rio Paranapanema Energia S.A.,B,1969-12-01
2125,Chimay Empreendimentos e Participações Ltda.,C,1912-01-10
2126,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
2127,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
2128,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
2129,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
2130,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
2131,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1937-08-20
2132,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1937-08-20
2133,"Libraga, Brandão & Cia Ltda.",C,1972-07-01
2134,CEMIG Geração Sul S.A.,B,1994-06-01
2135,Aquarius Energética S.A.,C,2006-05-02
2136,COBUCCIO ENERGIA LTDA,C,1900-03-09
2137,COBUCCIO ENERGIA LTDA,C,1900-03-09
2138,Costa Rica Energética Ltda.,C,1998-12-01
2139,COPREL Cooperativa de Geração de Energia e Desenvolvimento,C,2001-01-10
2140,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,2012-08-01
2141,Chimay Empreendimentos e Participações Ltda.,C,1912-01-10
2142,ESPORA ENERGÉTICA S.A,B,2006-04-30
2143,Furnas-Centrais Elétricas S.A.,B,1968-11-01
2144,Quanta Geração S.A.,C,1949-01-01
2145,AES Brasil Operações S.A.,B,1960-11-24
2146,Quanta Geração S.A.,C,1923-01-01
2147,LIGHT ENERGIA S.A,B,1904-01-01
2148,LIGHT ENERGIA S.A,C,1959-01-01
2149,LIGHT ENERGIA S.A,B,1913-01-01
2150,LIGHT ENERGIA S.A,B,1908-01-01
2151,LIGHT ENERGIA S.A,B,1945-01-01
2152,LIGHT ENERGIA S.A,B,1945-01-01
2153,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1950-01-01
2154,Companhia Brasileira de Alumínio,B,1957-12-31
2155,Quanta Geração S.A.,C,1961-01-01
2156,Companhia Brasileira de Alumínio,B,1964-06-30
2157,Companhia Brasileira de Alumínio,B,1964-06-30
2158,Companhia Brasileira de Alumínio,B,1964-06-30
2159,Companhia Brasileira de Alumínio,B,1964-06-30
2160,Aliança Geração de Energia S.A.,B,2002-05-17
2161,Furnas-Centrais Elétricas S.A.,B,1963-07-04
2162,Furnas-Centrais Elétricas S.A.,B,1963-07-04
2163,Jaguari Energética S.A.,C,1960-06-15
2164,CEMIG Geração Oeste S.A.,C,1946-06-01
2165,CELESC Geração S.A.,B,1964-01-01
2166,Chimay Empreendimentos e Participações Ltda.,C,1913-01-20
2167,SÃO GERALDO ENERGÉTICA LTDA,B,2003-06-15
2168,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1953-01-01
2169,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1953-01-01
2170,Brookfield Energia Renovável Minas Gerais S.A.,C,1912-06-01
2171,ENERGISA GERAÇÃO - USINA MAURÍCIO S.A.,C,1911-01-01
2172,Empresa Metropolitana de Águas e Energia S.A.,B,1936-01-01
2173,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2174,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2175,Empresa Metropolitana de Águas e Energia S.A.,B,1910-01-01
2176,Empresa Metropolitana de Águas e Energia S.A.,C,1940-06-29
2177,Empresa Metropolitana de Águas e Energia S.A.,C,1930-01-01
2178,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
2179,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
2180,Empresa Metropolitana de Águas e Energia S.A.,B,1936-01-01
2181,Empresa Metropolitana de Águas e Energia S.A.,B,1934-01-01
2182,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2183,Empresa Metropolitana de Águas e Energia S.A.,B,1936-01-01
2184,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2185,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2186,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1941-05-19
2187,AES Brasil Operações S.A.,B,1969-04-20
2188,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES - CERMISSÕES,C,1998-12-02
2189,LIGHT ENERGIA S.A,B,1924-01-01
2190,LIGHT ENERGIA S.A,B,1924-01-01
2191,Rio Paraná Energia S.A.,B,1973-01-01
2192,Rio Paraná Energia S.A.,B,1973-01-01
2193,CEMIG Geração e Transmissão S.A.,B,2005-10-01
2194,IRARA ENERGÉTICA S/A,B,2008-02-26
2195,Companhia Hidro Elétrica do São Francisco,B,1987-10-01
2196,ITAPEBI GERAÇÃO DE ENERGIA SA,B,2002-12-10
2197,AUTORIDADE PORTUÁRIA DE SANTOS S.A.,C,1910-10-10
2198,Furnas-Centrais Elétricas S.A.,B,1980-04-01
2199,Companhia Brasileira de Alumínio,B,1914-10-30
2200,Companhia Brasileira de Alumínio,B,1914-10-30
2201,Companhia Brasileira de Alumínio,B,1914-10-30
2202,CEMIG Geração Itutinga S.A.,B,1953-10-01
2203,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1950-01-01
2204,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1962-09-30
2205,COMPANHIA ENERGÉTICA JAGUARA,B,1970-07-24
2206,COMPANHIA ENERGÉTICA JAGUARA,B,1970-07-24
2207,Cinco Estrelas Agropecuária e Participações Ltda,B,2002-09-20
2208,Ibitu Energética S.A.,B,2002-09-20
2209,Cinco Estrelas Agropecuária e Participações Ltda,B,2002-09-20
2210,Ibitu Energética S.A.,B,2002-09-20
2211,CEMIG Geração Sul S.A.,C,1950-04-01
2212,ITAMARATI NORTE S/A AGROPECUÁRIA,B,1995-06-01
2213,ITAMARATI NORTE S/A AGROPECUÁRIA,C,1994-11-01
2214,Statkraft Energias Renováveis S.A.,C,1909-02-20
2215,FOZ DO CHOPIM ENERGÉTICA LTDA.,C,1969-01-01
2216,Rio Paraná Energia S.A.,B,1969-01-01
2217,Rio Paraná Energia S.A.,B,1969-01-01
2218,Rio Paranapanema Energia S.A.,B,1961-10-15
2219,Rio Paranapanema Energia S.A.,B,1961-10-15
2220,Companhia Brasileira de Alumínio,B,1946-11-30
2221,CEB Lajeado S.A,B,2001-02-20
2222,INVESTCO SA,B,2001-02-20
2223,LAJEADO ENERGIA S/A,B,2001-02-20
2224,PAULISTA LAJEADO ENERGIA S/A,B,2001-02-20
2225,Lajes Energia S.A,B,1904-01-01
2226,Lajes Energia S.A,B,1913-01-01
2227,Lajes Energia S.A,B,1908-01-01
2228,Lajes Energia S.A,B,1945-01-01
2229,Lajes Energia S.A,B,1945-01-01
2230,Lajes Energia S.A,C,1959-01-01
2231,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1941-03-01
2232,Chimay Empreendimentos e Participações Ltda.,C,1917-01-05
2233,AES Brasil Operações S.A.,B,1958-09-25
2234,AES Brasil Operações S.A.,B,1979-03-16
2235,Ferro Ligas Piracicaba Ltda,C,1905-03-07
2236,CEMIG Geração e Transmissão S.A.,B,1914-10-01
2237,Quanta Geração S.A.,B,1950-01-01
2238,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1911-01-01
2239,Horizontes Energia S.A,B,1990-06-01
2240,Furnas-Centrais Elétricas S.A.,B,2000-01-01
2241,Produtores Energéticos de Manso S.A,B,2000-01-01
2242,Furnas-Centrais Elétricas S.A.,B,1975-10-25
2243,CEMIG Geração Sul S.A.,C,1914-12-01
2244,CEMIG Geração Oeste S.A.,C,1950-10-01
2245,Energest S.A.,B,1974-02-20
2246,Energest S.A.,B,1974-02-20
2247,Energest S.A.,B,1974-02-20
2248,"Libraga, Brandão & Cia Ltda.",C,1972-09-01
2249,ENERGISA GERAÇÃO - USINA MAURÍCIO S.A.,C,1908-01-01
2250,COMPANHIA ENERGÉTICA MIRANDA,B,1997-05-01
2251,AES Brasil Operações S.A.,B,1994-10-30
2252,Mohini Empreendimentos e Participações Ltda.,C,1909-01-10
2253,MONTE SERRAT ENERGÉTICA S/A,B,2008-12-10
2254,Companhia Hidro Elétrica do São Francisco,B,1976-08-01
2255,SAMARCO MINERAÇÃO S.A.,B,1997-06-30
2256,CEMIG Geração Leste S.A.,C,1948-10-01
2257,LIGHT ENERGIA S.A,B,1953-01-01
2258,LIGHT ENERGIA S.A,B,1953-01-01
2259,AES Brasil Operações S.A.,B,1982-09-13
2260,CEMIG Geração e Transmissão S.A.,B,1992-04-01
2261,CEMIG Geração Sul S.A.,B,1930-06-20
2262,GESM - GERAÇÃO DE ENERGIA SUL DE MINAS S/A,C,1927-01-01
2263,Cemig PCH  S.A,C,1958-10-01
2264,PAINA II - GERADORA DE ENERGIA SPE LTDA.,C,1993-12-01
2265,KLABIN S.A.,C,1956-11-26
2266,CELESC Geração S.A.,B,1963-12-01
2267,CELESC Geração S.A.,B,1963-12-01
2268,CELESC Geração S.A.,B,2000-04-01
2269,Lightger S.A.,B,2012-05-01
2270,Lightger S.A.,B,2012-05-01
2271,CEMIG Geração e Transmissão S.A.,B,1948-07-01
2272,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ GERAÇÃO,C,1959-12-31
2273,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1948-11-15
2274,ENERGÉTICA CAMPOS DE CIMA DA SERRA LTDA,B,2003-08-01
2275,ENGIE Brasil Energia S.A.,B,1971-05-01
2276,ENGIE Brasil Energia S.A.,B,1971-05-01
2277,ENGIE Brasil Energia S.A.,B,1971-05-01
2278,COMPANHIA SIDERÚRGICA NACIONAL,B,1973-03-17
2279,CSN MINERAÇÃO S.A.,B,1973-03-17
2280,ELIZABETH CIMENTOS S/A,B,1973-03-17
2281,MINÉRIOS NACIONAL S.A.,B,1973-03-17
2282,Mercantil Energia Ltda,C,1900-01-01
2283,Companhia Hidro Elétrica do São Francisco,B,1954-09-18
2284,ENERGÉTICA RIO PEDRINHO LTDA.,C,2003-08-01
2285,Furnas-Centrais Elétricas S.A.,B,1956-12-21
2286,LIGHT ENERGIA S.A,B,1962-01-01
2287,CELESC Geração S.A.,C,1965-01-01
2288,CELESC Geração S.A.,C,1965-01-01
2289,CELESC Geração S.A.,C,2013-04-26
2290,PESQUEIRO ENERGIA S/A,C,2002-12-15
2291,CEMIG Geração Leste S.A.,B,1945-11-06
2292,Quanta Geração S.A.,C,1908-01-01
2293,CEMIG Geração Sul S.A.,B,1954-07-02
2294,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1911-01-01
2295,HIDRELÉTRICA PIPOCA S.A.,B,2010-05-01
2296,ARCELORMITTAL BRASIL S.A.,B,1939-01-01
2297,CEMIG Geração Poço Fundo S.A.,B,1948-10-01
2298,ENGIE Brasil Energia S.A.,B,2004-04-01
2299,Furnas-Centrais Elétricas S.A.,B,1973-07-03
2300,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
2301,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,2003-10-15
2302,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,2003-10-15
2303,Companhia Brasileira de Alumínio,B,1982-10-30
2304,LUMBRÁS ENERGÉTICA S.A.,B,2009-12-23
2305,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A,B,1963-12-31
2306,AES Brasil Operações S.A.,B,1974-07-01
2307,COMPANHIA ENERGÉTICA CHAPECÓ - CEC,B,2003-03-03
2308,Horizontes Energia S.A,C,1960-10-01
2309,CEB Participações S.A,B,2003-06-01
2310,CEMIG Geração e Transmissão S.A.,B,2003-06-01
2311,CEB Participações S.A,B,2003-06-01
2312,CEMIG Geração e Transmissão S.A.,B,2003-06-01
2313,CEB Participações S.A,B,2003-06-01
2314,CEMIG Geração e Transmissão S.A.,B,2003-06-01
2315,Empresa Metropolitana de Águas e Energia S.A.,B,1925-01-01
2316,Statkraft Energias Renováveis S.A.,B,1959-02-20
2317,CEMIG Geração e Transmissão S.A.,B,1924-10-01
2318,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1998-01-01
2319,Centrais Elétricas Rio Tigre S.A.,B,1964-09-01
2320,RONDON ENERGIA S.A.,C,2010-10-25
2321,Rosal Energia S.A.,B,1999-10-09
2322,Rio Paranapanema Energia S.A.,B,1986-11-03
2323,Rio Paranapanema Energia S.A.,B,1986-11-03
2324,SÁ Carvalho S.A.,B,1950-10-01
2325,SÁ Carvalho S.A.,C,1950-10-01
2326,HIDROLUZ CENTRAIS ELÉTRICAS LTDA,C,2004-09-15
2327,COBUCCIO ENERGIA LTDA,B,1913-03-27
2328,ENERCOOP LTDA,C,1994-12-09
2329,Companhia Brasileira de Alumínio,B,1989-10-30
2330,Horizontes Energia S.A,C,1955-10-01
2331,KLABIN S.A.,C,1952-01-26
2332,CEMIG Geração e Transmissão S.A.,B,1955-09-01
2333,ENGIE Brasil Energia S.A.,B,1971-05-01
2334,ENGIE Brasil Energia S.A.,B,1979-09-29
2335,ENGIE Brasil Energia S.A.,B,1979-09-29
2336,ENGIE Brasil Energia S.A.,B,1979-09-29
2337,ENGIE Brasil Energia S.A.,B,1979-09-29
2338,CHAPECOZINHO ENERGETICA S/A,C,2003-10-15
2339,CELESC Geração S.A.,B,1914-01-01
2340,CELESC Geração S.A.,B,1914-01-01
2341,CELESC Geração S.A.,B,1914-01-01
2342,CELESC Geração S.A.,B,1914-01-01
2343,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2344,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2345,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2346,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2347,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2348,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2349,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2350,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2351,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2352,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
2353,Ferro Ligas Piracicaba Ltda,C,1905-03-25
2354,LIGHT ENERGIA S.A,B,1960-01-01
2355,COMPANHIA ENERGÉTICA SANTA CLARA,B,2001-10-20
2356,UHE São Simão Energia S.A.,B,1977-06-01
2357,COBUCCIO ENERGIA LTDA,C,1910-03-24
2358,COBUCCIO ENERGIA LTDA,C,1910-03-24
2359,Furnas-Centrais Elétricas S.A.,B,1996-12-01
2360,Companhia Brasileira de Alumínio,B,1978-10-30
2361,BAHIA PCH I S.A.,B,2010-08-31
2362,Companhia Hidro Elétrica do São Francisco,B,1977-08-01
2363,Companhia Hidro Elétrica do São Francisco,B,1977-03-01
2364,Companhia Hidro Elétrica do São Francisco,B,1978-03-01
2365,Tocantins Energética S.A.,C,1998-10-15
2366,Companhia Brasileira de Alumínio,C,1998-08-15
2367,Mohini Empreendimentos e Participações Ltda.,C,1909-01-10
2368,Statkraft Energias Renováveis S.A.,B,1965-02-20
2369,Rio Paranapanema Energia S.A.,B,1992-09-15
2370,Rio Paranapanema Energia S.A.,B,1992-09-15
2371,Eletricidade da Amazônia LTDA.,C,1997-09-12
2372,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,2029-11-17
2373,Quanta Geração S.A.,C,1912-01-01
2374,SANTA MARIA CIA DE PAPEL E CELULOSE,C,1964-09-28
2375,TIJOÁ PARTICIPAÇÕES E INVESTIMENTOS S.A.,B,1990-07-01
2376,Jayaditya Empreendimentos e Participações Ltda,C,1928-01-05
2377,CEMIG Geração Leste S.A.,B,1954-08-01
2378,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2379,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2380,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2381,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2382,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2383,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2384,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2385,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2386,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2387,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2388,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2389,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2390,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2391,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
2392,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1912-01-01
2393,Horizontes Energia S.A,C,1971-11-01
2394,CEMIG Geração e Transmissão S.A.,B,1941-10-01
2395,Nelson Ricardo da Cruz,C,1993-10-30
2396,HIDROELÉTRICA BERGAMIN LTDA.,C,1993-01-01
2397,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1955-01-01
2398,Santa Rosa S.A,B,2008-04-15
2399,COMPANHIA ENERGÉTICA DO JARI,B,2014-03-10
2400,CEMIG Geração e Transmissão S.A.,B,1947-10-01
2401,Statkraft Energias Renováveis S.A.,B,2007-02-20
2402,Chimay Empreendimentos e Participações Ltda.,C,1911-01-01
2403,CPFL ENERGIAS RENOVÁVEIS S.A.,B,1935-01-01
2404,IRANI PAPEL E EMBALAGEM S.A.,B,1964-01-06
2405,COMPANHIA SÃO PATRÍCIO DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA - CSP-G&T,C,1955-12-31
2406,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,2000-11-15
2407,DONA FRANCISCA ENERGÉTICA S.A.,B,2000-11-15
2408,COMPANHIA SIDERÚRGICA NACIONAL,B,1978-01-09
2409,CSN CIMENTOS BRASIL S.A.,B,1978-01-09
2410,CEMIG Geração Leste S.A.,C,1997-11-05
2411,CASSOL CENTRAIS ELÉTRICAS LTDA,C,1994-10-01
2412,Companhia Hidro Elétrica do São Francisco,B,1961-12-01
2413,Companhia Hidro Elétrica do São Francisco,B,1954-09-18
2414,Companhia Hidro Elétrica do São Francisco,B,1954-09-18
2415,Companhia Hidro Elétrica do São Francisco,B,1974-03-01
2416,Companhia Hidro Elétrica do São Francisco,B,1979-03-01
2417,Companhia Hidro Elétrica do São Francisco,B,1979-03-01
2418,Companhia Hidro Elétrica do São Francisco,B,1979-03-01
2419,Companhia Hidro Elétrica do São Francisco,B,1969-12-01
2420,Companhia Hidro Elétrica do São Francisco,B,1994-12-01
2421,Companhia Hidro Elétrica do São Francisco,B,1994-05-30
2422,Companhia Hidro Elétrica do São Francisco,B,1992-08-01
2423,Companhia Hidro Elétrica do São Francisco,B,1992-09-01
2424,Companhia Hidro Elétrica do São Francisco,B,1994-03-21
2425,Chimay Empreendimentos e Participações Ltda.,C,1926-01-10
2426,Centrais Elétricas Cassol  Ltda,C,2000-12-11
2427,Companhia Brasileira de Alumínio,B,1999-04-28
2428,Rio Paranapanema Energia S.A.,B,1999-04-28
2429,Companhia Brasileira de Alumínio,B,1999-04-28
2430,Rio Paranapanema Energia S.A.,B,1999-04-28
2431,Chimay Empreendimentos e Participações Ltda.,C,1911-12-15
2432,Chimay Empreendimentos e Participações Ltda.,C,1911-12-27
2433,Chimay Empreendimentos e Participações Ltda.,C,1911-01-01
2434,Chimay Empreendimentos e Participações Ltda.,C,1910-11-01
2435,Mohini Empreendimentos e Participações Ltda.,C,1954-02-10
2436,Mohini Empreendimentos e Participações Ltda.,B,1917-01-10
2437,CEMIG Geração e Transmissão S.A.,B,1961-09-01
2438,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,C,1951-11-01
2439,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,C,1936-10-01
2440,CEMIG Geração e Transmissão S.A.,B,1981-10-31
2441,CEMIG Geração e Transmissão S.A.,B,1981-10-31
2442,CEMIG Geração e Transmissão S.A.,B,1981-10-31
2443,Furnas-Centrais Elétricas S.A.,B,1969-11-01
2444,Furnas-Centrais Elétricas S.A.,B,1969-11-01
2445,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,1978-01-01
2446,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,1978-01-01
2447,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,1978-01-01
2448,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,1978-01-01
2449,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1976-10-27
2450,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1976-10-27
2451,Furnas-Centrais Elétricas S.A.,B,1972-01-01
2452,Furnas-Centrais Elétricas S.A.,B,1972-01-01
2453,Jayaditya Empreendimentos e Participações Ltda,C,1928-01-10
2454,Trombini Embalagens S.A.,C,1950-06-02
2455,Guarantã Energética Ltda,C,2003-02-28
2456,RIO MANHUAÇU ENERGÉTICA LTDA,B,2000-06-15
2457,CEMIG Geração e Transmissão S.A.,C,1955-07-01
2458,CEMIG Geração e Transmissão S.A.,B,1955-07-01
2459,Ombreiras Energética S.A,B,2005-05-01
2460,Tocantins Energética S.A.,C,2000-10-01
2461,Mohini Empreendimentos e Participações Ltda.,C,1928-01-10
2462,Elera Renováveis S.A.,B,2001-05-01
2463,Elera Renováveis S.A.,B,2001-05-01
2464,Elera Renováveis S.A.,B,2001-05-01
2465,Maringá Ferro Liga S.A.,C,1964-01-01
2466,Hidrelétrica Comodoro Ltda,C,1992-12-15
2467,Indiavaí Energetica S.A,C,2003-06-01
2468,CAMPOS NOVOS ENERGIA S.A.,B,2006-07-31
2469,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1950-01-01
2470,Tocantins Energética S.A.,C,2000-01-05
2471,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A,C,1992-12-31
2472,Jayaditya Empreendimentos e Participações Ltda,C,1951-01-10
2473,Embacorp Soluções em Embalagens Ltda,C,1962-05-15
2474,ELETROGOES S/A,C,2009-07-15
2475,Aliança Geração de Energia S.A.,B,2005-10-02
2476,L.D.O.S.P.E. GERAÇÃO DE ENERGIA E PARTICIPAÇÕES LTDA.,B,2005-10-02
2477,Aliança Geração de Energia S.A.,B,2005-10-02
2478,L.D.O.S.P.E. GERAÇÃO DE ENERGIA E PARTICIPAÇÕES LTDA.,B,2005-10-02
2479,Aliança Geração de Energia S.A.,B,2006-07-23
2480,L.D.O.S.P.E. GERAÇÃO DE ENERGIA E PARTICIPAÇÕES LTDA.,B,2006-07-23
2481,SPE Barra da Paciência Energia S.A.,B,2010-11-25
2482,LAGOA AZUL ENERGÉTICA S.A.,B,2004-06-15
2483,SERRA NEGRA ENERGÉTICA S.A.,B,2006-09-14
2484,SERRA NEGRA ENERGÉTICA S.A.,B,2006-09-14
2485,SERRA NEGRA ENERGÉTICA S.A.,B,2006-09-14
2486,CENTRAIS HIDRELÉTRICAS GRAPON Ltda,B,2003-06-01
2487,BAESA-ENERGÉTICA BARRA GRANDE S/A,B,2005-07-05
2488,SPE Várzea Alegre Energia S.A.,B,2010-11-05
2489,CAPARAÓ ENERGIA S/A,C,2008-05-09
2490,SPE Ninho da Águia Energia S.A.,C,2010-11-05
2491,BELA VISTA ENERGÉTICA LTDA.,C,2003-06-01
2492,FUNIL ENERGIA S/A,C,2007-12-14
2493,CALHEIROS ENERGIA S/A,B,2008-02-14
2494,SÃO GONÇALO ENERGIA LTDA,B,2010-04-05
2495,Mafrás Energia Ltda.,C,2004-03-03
2496,Cooperativa Regional de Desenvolvimento Teutônia - CERTEL,C,2002-10-05
2497,RIO POMBA ENERGÉTICA LTDA,B,2003-06-15
2498,SPE Cocais Grande Energia S.A.,C,2008-10-15
2499,SPE Varginha Energia S.A.,B,2010-09-02
2500,SPE CRISTINA ENERGIA S.A.,B,2011-09-25
2501,CARANGOLA ENERGIA S/A,C,2007-08-10
2502,Corumbá Concessões S.A.,B,2005-04-01
2503,SPE Corrente Grande Energia S.A.,B,2010-11-25
2504,Dme Energética S.A. - DMEE,C,2003-02-01
2505,Companhia Brasileira de Alumínio,B,2005-07-31
2506,LINHA EMÍLIA ENERGÉTICA S.A.,B,2008-11-30
2507,COTIPORÃ ENERGÉTICA S.A.,B,2008-10-23
2508,CAÇADOR ENERGÉTICA S.A.,B,2008-09-15
