_id,NomEmpresa,IdcClassificacaoBarragens,DatConclusaoConstrucao
101,JFG Energia S.A,C,1997-01-15
102,ZONA DA MATA GERAÇÃO S/A,B,1998-06-15
103,AES Brasil Operações S.A.,B,1966-08-22
104,CEMIG Geração Oeste S.A.,B,1953-10-01
105,CPFL Sul Centrais Elétricas Ltda,C,2005-11-20
106,CEMIG Geração Camargos S.A.,B,1958-07-07
107,ENGIE Brasil Energia S.A.,B,2002-02-10
108,ENGIE Brasil Energia S.A.,B,2002-02-10
109,ENGIE Brasil Energia S.A.,B,2002-02-10
110,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1956-12-15
111,Aliança Geração de Energia S.A.,B,2004-03-30
112,VALE S.A.,B,2004-03-30
113,Rio Verde Energia S.A.,C,2006-09-10
114,Companhia Brasileira de Alumínio,B,1999-04-24
115,Rio Paranapanema Energia S.A.,B,1999-04-24
116,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1933-01-01
117,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1933-01-01
118,Rio Paranapanema Energia S.A.,B,1975-12-20
119,Sociedade Urbano CERBRANORTE - Geração de Energia Elétrica SPE Ltda.,C,2016-04-29
120,COMPANHIA TECIDOS SANTANENSE,C,1960-01-06
121,APIACÁS ENERGIA S.A.,C,1970-06-01
122,COPREL Cooperativa de Geração de Energia e Desenvolvimento,C,1948-01-02
123,COMPANHIA ENERGÉTICA RIO DAS ANTAS,B,2008-01-16
124,CELESC Geração S.A.,B,1940-01-01
125,CELESC Geração S.A.,C,1940-01-01
126,Copel Geração E Transmissão S.A.,C,1965-01-01
127,CAZUZA FERREIRA ENERGÉTICA S/A,C,2015-11-07
128,CELESC Geração S.A.,B,1949-01-01
129,CELESC Geração S.A.,C,1949-01-01
130,CELESC Geração S.A.,C,1963-01-01
131,Copel Geração E Transmissão S.A.,B,1931-01-01
132,Copel Geração E Transmissão S.A.,B,1952-01-01
133,Rio Paranapanema Energia S.A.,B,1969-12-01
134,Chimay Empreendimentos e Participações Ltda.,C,1912-01-10
135,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
136,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
137,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
138,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
139,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1975-08-30
140,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1937-08-20
141,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1937-08-20
142,"Libraga, Brandão & Cia Ltda.",C,1955-08-01
143,Furnas-Centrais Elétricas S.A.,B,1996-05-01
144,COBUCCIO ENERGIA LTDA,C,1900-03-09
145,COBUCCIO ENERGIA LTDA,C,1900-03-09
146,Costa Rica Energética Ltda.,C,1998-12-01
147,COPREL Cooperativa de Geração de Energia e Desenvolvimento,C,2000-11-18
148,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,2012-08-01
149,Chimay Empreendimentos e Participações Ltda.,C,1912-01-10
150,ESPORA ENERGÉTICA S.A,B,2006-04-30
151,Furnas-Centrais Elétricas S.A.,B,1968-11-01
152,Quanta Geração S.A.,C,1949-01-01
153,Quanta Geração S.A.,C,1949-01-01
154,AES Brasil Operações S.A.,B,1960-11-24
155,Quanta Geração S.A.,C,1923-01-01
156,Quanta Geração S.A.,C,1923-01-01
157,COOPERATIVA DE GERAÇÃO E DESENVOLVIMENTO FONTOURA XAVIER,C,2005-10-30
158,AGROPECUÁRIA E REFLORESTADORA SÃO LUIZ LTDA,C,1990-01-30
159,LIGHT ENERGIA S.A,B,1945-01-01
160,LIGHT ENERGIA S.A,B,1945-01-01
161,LIGHT ENERGIA S.A,B,1904-01-01
162,LIGHT ENERGIA S.A,B,1959-01-01
163,LIGHT ENERGIA S.A,B,1913-01-01
164,LIGHT ENERGIA S.A,B,1908-01-01
165,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1950-01-01
166,F.D.A. GERAÇÃO DE ENERGIA ELÉTRICA S.A.,B,1980-03-01
167,Companhia Brasileira de Alumínio,B,1957-12-31
168,Quanta Geração S.A.,C,1961-01-01
169,Quanta Geração S.A.,C,1961-01-01
170,Statkraft Energias Renováveis S.A.,C,1912-02-20
171,Aliança Geração de Energia S.A.,B,2002-05-17
172,Furnas-Centrais Elétricas S.A.,B,1963-07-04
173,Furnas-Centrais Elétricas S.A.,B,1963-07-04
174,Jaguari Energética S.A.,C,1960-12-30
175,CEMIG Geração Oeste S.A.,B,1946-06-01
176,CELESC Geração S.A.,B,1964-12-01
177,Chimay Empreendimentos e Participações Ltda.,B,1913-01-20
178,RIO PRETO ENERGIAS RENOVÁVEIS LTDA.,C,1900-01-01
179,Copel Geração E Transmissão S.A.,B,1971-08-01
180,SÃO GERALDO ENERGÉTICA LTDA,B,2003-06-15
181,Copel Geração E Transmissão S.A.,B,1957-01-01
182,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1953-01-01
183,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1953-01-01
184,Brookfield Energia Renovável Minas Gerais S.A.,C,1912-06-01
185,ARCELORMITTAL BRASIL S.A.,B,1997-07-01
186,SAMARCO MINERAÇÃO S.A.,B,1997-07-01
187,Empresa Metropolitana de Águas e Energia S.A.,B,1936-01-01
188,Empresa Metropolitana de Águas e Energia S.A.,B,1926-01-01
189,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
190,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
191,Empresa Metropolitana de Águas e Energia S.A.,B,1906-01-01
192,Empresa Metropolitana de Águas e Energia S.A.,C,1935-01-01
193,Empresa Metropolitana de Águas e Energia S.A.,C,1942-01-01
194,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
195,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
196,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
197,Empresa Metropolitana de Águas e Energia S.A.,B,1934-01-01
198,Empresa Metropolitana de Águas e Energia S.A.,B,1937-01-01
199,Empresa Metropolitana de Águas e Energia S.A.,B,1935-01-01
200,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
201,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1941-05-19
202,AES Brasil Operações S.A.,B,1969-04-20
203,Aliança Geração de Energia S.A.,B,1998-10-05
204,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1998-10-05
205,COMPANHIA SIDERÚRGICA NACIONAL,B,1998-10-05
206,L.D.R.S.P.E. GERAÇÃO DE ENERGIA E PARTICIPAÇÕES LTDA.,B,1998-10-05
207,Rio Paraná Energia S.A.,B,1973-01-01
208,Rio Paraná Energia S.A.,B,1973-01-01
209,Rio Paraná Energia S.A.,B,1973-01-01
210,Rio Paraná Energia S.A.,B,1973-01-01
211,FOCUS GERAÇÃO BARBACENA LTDA.,C,1924-01-01
212,CEMIG Geração e Transmissão S.A.,B,2005-10-01
213,IRARA ENERGÉTICA S/A,B,2008-02-26
214,ISAMU IKEDA ENERGIA S.A.,B,1982-06-01
215,ENGIE Brasil Energia S.A.,B,1999-12-15
216,ITÁ ENERGÉTICA S/A,B,1999-12-15
217,ENGIE Brasil Energia S.A.,B,1999-12-15
218,ITÁ ENERGÉTICA S/A,B,1999-12-15
219,ENGIE Brasil Energia S.A.,B,1999-12-15
220,ITÁ ENERGÉTICA S/A,B,1999-12-15
221,ENGIE Brasil Energia S.A.,B,1999-12-15
222,ITÁ ENERGÉTICA S/A,B,1999-12-15
223,Companhia Hidro Elétrica do São Francisco,B,1987-10-01
224,ITAPEBI GERAÇÃO DE ENERGIA SA,B,2002-12-31
225,Brito Energética LTDA.,C,1900-01-01
226,Furnas-Centrais Elétricas S.A.,B,1980-04-01
227,Companhia Brasileira de Alumínio,B,1914-10-30
228,Companhia Brasileira de Alumínio,B,1914-10-30
229,Companhia Brasileira de Alumínio,B,1914-10-30
230,CEMIG Geração Itutinga S.A.,B,1953-10-01
231,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1962-09-30
232,COMPANHIA ENERGÉTICA JAGUARA,B,1970-07-24
233,COMPANHIA ENERGÉTICA JAGUARA,B,1970-07-24
234,Cinco Estrelas Agropecuária e Participações Ltda,B,2002-09-20
235,Ibitu Energética S.A.,B,2002-09-20
236,EMATEX INDUSTRIAL E COMERCIAL TÊXTIL LTDA.,C,1905-04-08
237,CEMIG Geração Sul S.A.,B,1950-04-01
238,ITAMARATI NORTE S/A AGROPECUÁRIA,B,1995-06-01
239,ITAMARATI NORTE S/A AGROPECUÁRIA,B,1994-11-01
240,Statkraft Energias Renováveis S.A.,C,1909-02-20
241,FOZ DO CHOPIM ENERGÉTICA LTDA.,C,1969-01-01
242,Rio Paraná Energia S.A.,B,1969-01-01
243,Rio Paraná Energia S.A.,B,1969-01-01
244,Rio Paraná Energia S.A.,B,1969-01-01
245,Rio Paraná Energia S.A.,B,1969-01-01
246,Rio Paranapanema Energia S.A.,B,1961-10-15
